vendor,kgCO2e_vendor,tonnesCO2e_vendor,total_kg_CO2e,total_tonnes_CO2e,pct_contribution,cumulative_pct_emissions
ULINE,31233.71,31.23,53510.27,53.51,58.37,58.37
Discovery Organics,3583.76,3.58,53510.27,53.51,6.7,65.07
Dean's Milkman,3456.21,3.46,53510.27,53.51,6.46,71.53
Tree Island Gourmet Yogurt,3378.83,3.38,53510.27,53.51,6.31,77.84
Rehoboth Farm,2684.43,2.68,53510.27,53.51,5.02,82.86
Left Coast Naturals,1778.63,1.78,53510.27,53.51,3.32,86.18
Klippers Organics,1181.42,1.18,53510.27,53.51,2.21,88.39
Nelson Naturals,920.29,0.92,53510.27,53.51,1.72,90.11
Giddy Yo,587.82,0.59,53510.27,53.51,1.1,91.21
Brush Naked,538.07,0.54,53510.27,53.51,1.01,92.21
Oneka Elements,528.11,0.53,53510.27,53.51,0.99,93.2
Organic Matters,418.99,0.42,53510.27,53.51,0.78,93.98
Horizon Distributors,416.83,0.42,53510.27,53.51,0.78,94.76
The Mill Factor,309.43,0.31,53510.27,53.51,0.58,95.34
Foothills Creamery Ltd.,290.43,0.29,53510.27,53.51,0.54,95.88
Dental Lace Inc.,252.54,0.25,53510.27,53.51,0.47,96.35
Black Sheep Vegan Cheeze,227.35,0.23,53510.27,53.51,0.42,96.78
LFT Group Brands Ltd.,199.5,0.2,53510.27,53.51,0.37,97.15
Kooshoo,154.24,0.15,53510.27,53.51,0.29,97.44
Artisan Bake Shoppe,139.32,0.14,53510.27,53.51,0.26,97.7
Bows & Arrows,108.23,0.11,53510.27,53.51,0.2,97.9
A Bread Affair,104.19,0.1,53510.27,53.51,0.19,98.1
Namasthé Tea Co.,97.01,0.1,53510.27,53.51,0.18,98.28
Gathering Place Trading Company,84.05,0.08,53510.27,53.51,0.16,98.44
Jiva Organics,76.67,0.08,53510.27,53.51,0.14,98.58
Nellie's All-Natural,68.13,0.07,53510.27,53.51,0.13,98.71
Gentle Earth,68.05,0.07,53510.27,53.51,0.13,98.83
Cedar Isle Farm,56.75,0.06,53510.27,53.51,0.11,98.94
Dickie's Ginger,48.81,0.05,53510.27,53.51,0.09,99.03
Nina's Pierogi,46.93,0.05,53510.27,53.51,0.09,99.12
Denman Island Chocolate,39.93,0.04,53510.27,53.51,0.07,99.19
Hoochy ‘Booch Kombucha,31.94,0.03,53510.27,53.51,0.06,99.25
Yoggu!,30.78,0.03,53510.27,53.51,0.06,99.31
Purity Life,27.57,0.03,53510.27,53.51,0.05,99.36
Squamish Water Kefir,25.02,0.03,53510.27,53.51,0.05,99.41
Solfeggio,22.6,0.02,53510.27,53.51,0.04,99.45
Cowichan Pasta Company,21.26,0.02,53510.27,53.51,0.04,99.49
Westpoint Naturals,19.88,0.02,53510.27,53.51,0.04,99.53
Home Grown Living Foods,16.85,0.02,53510.27,53.51,0.03,99.56
Caboo Paper Products Inc.,16.72,0.02,53510.27,53.51,0.03,99.59
Onyx,15.93,0.02,53510.27,53.51,0.03,99.62
Tempea Natural Foods,15.49,0.02,53510.27,53.51,0.03,99.65
Purity Life Health Products LP,13.79,0.01,53510.27,53.51,0.03,99.68
Earnest Ice Cream,12.31,0.01,53510.27,53.51,0.02,99.7
Offbeat Produce,10.89,0.01,53510.27,53.51,0.02,99.72
BobAli Foods,10.85,0.01,53510.27,53.51,0.02,99.74
The Modern Pantry,10.24,0.01,53510.27,53.51,0.02,99.76
Plenty and Spare,8.97,0.01,53510.27,53.51,0.02,99.77
Two Daughters Bakeshop,8.69,0.01,53510.27,53.51,0.02,99.79
East Van Roasters,8.49,0.01,53510.27,53.51,0.02,99.81
Dom's Naturals,8.24,0.01,53510.27,53.51,0.02,99.82
Pocket Rag,7.5,0.01,53510.27,53.51,0.01,99.84
Hives for Humanity,6.79,0.01,53510.27,53.51,0.01,99.85
Holy Homous,6.46,0.01,53510.27,53.51,0.01,99.86
Lakehouse Foods,6.38,0.01,53510.27,53.51,0.01,99.87
Beyond Bread,5.97,0.01,53510.27,53.51,0.01,99.88
To Die For Fine Foods,5.91,0.01,53510.27,53.51,0.01,99.9
Two Rivers Specialty Meats,5.73,0.01,53510.27,53.51,0.01,99.91
Nutmeg Mylk,4.64,0,53510.27,53.51,0.01,99.91
Golden Ears Cheesecrafters Ltd.,4.36,0,53510.27,53.51,0.01,99.92
TMRW Foods,3.89,0,53510.27,53.51,0.01,99.93
Lita's Mexican Foods,3.39,0,53510.27,53.51,0.01,99.94
Orazio's Olive Oil,2.98,0,53510.27,53.51,0.01,99.94
Nora's Non-Dairy Ltd.,2.63,0,53510.27,53.51,0,99.95
Flourgirl Baking,2.01,0,53510.27,53.51,0,99.95
Legends Haul,1.97,0,53510.27,53.51,0,99.95
Sweet 'n Sassy Vegan Treats,1.94,0,53510.27,53.51,0,99.96
Nature Derived Organics,1.92,0,53510.27,53.51,0,99.96
The Workshop Vegetarian Cafe,1.89,0,53510.27,53.51,0,99.96
Coze Design,1.86,0,53510.27,53.51,0,99.97
Cropthorne Farm,1.81,0,53510.27,53.51,0,99.97
Zimt Chocolates,1.71,0,53510.27,53.51,0,99.98
Nuez Beverage Co.,1.57,0,53510.27,53.51,0,99.98
KAPOW NOW!,1.49,0,53510.27,53.51,0,99.98
Spread'Em Kitchen Co.,1.11,0,53510.27,53.51,0,99.98
Teecycle,1.11,0,53510.27,53.51,0,99.98
Naked Coconuts,0.98,0,53510.27,53.51,0,99.99
Tayybeh,0.96,0,53510.27,53.51,0,99.99
Biota Fermentation,0.9,0,53510.27,53.51,0,99.99
Bakers Supply House,0.7,0,53510.27,53.51,0,99.99
Bite Snacks,0.68,0,53510.27,53.51,0,99.99
Keegan's Card Company,0.46,0,53510.27,53.51,0,99.99
ULAT Dryer Balls,0.43,0,53510.27,53.51,0,99.99
Abeego Wraps,0.35,0,53510.27,53.51,0,100
Plantbase Food & Specialties,0.33,0,53510.27,53.51,0,100
Fairware,0.29,0,53510.27,53.51,0,100
Susgrainable Health Foods Inc.,0.29,0,53510.27,53.51,0,100
Yellow Basket Baking,0.28,0,53510.27,53.51,0,100
Skipper Otto,0.24,0,53510.27,53.51,0,100
Blume Supply Inc.,0.21,0,53510.27,53.51,0,100
Amoda Tea & Wellness Inc.,0.13,0,53510.27,53.51,0,100
Livvy's Bakery,0.12,0,53510.27,53.51,0,100
GlassSipper,0.12,0,53510.27,53.51,0,100
GLOW Chocolates,0.09,0,53510.27,53.51,0,100
Pure Earth Superfoods,0.09,0,53510.27,53.51,0,100
Roasters Hot Sauce,0.08,0,53510.27,53.51,0,100
Blue Heron Creamery,0.07,0,53510.27,53.51,0,100
Lunapads,0.07,0,53510.27,53.51,0,100
City Beet Farm,0.05,0,53510.27,53.51,0,100
Wize Monkey,0.04,0,53510.27,53.51,0,100
Drew Bondar,0.03,0,53510.27,53.51,0,100
Sea Smart,0.03,0,53510.27,53.51,0,100
Satya Organic Skin Care,0.02,0,53510.27,53.51,0,100
SPEC,0.02,0,53510.27,53.51,0,100
UNFI,0.01,0,53510.27,53.51,0,100
Studio Full Bloom,0,0,53510.27,53.51,0,100
