prod_cat,total_kg_co2e,spend,co2e_per_dollar
eggs,5135.32,13686,0.38
cheese,606.52,13881.28,0.04
meat,106.71,3368.63,0.03
fabric,537.02,2480.6,0.22
flours,1026.01,9985.53,0.1
bread,812.69,13332.57,0.06
cookie,1715.11,22340.56,0.08
sugar,3321.84,24091.92,0.14
coffee,2306.17,28566.39,0.08
dried,2492.67,20476.36,0.12
ice cream,349.21,9811.9,0.04
frozen,1306.85,13214.1,0.1
scrap,96.22,442,0.22
dairy,37.96,374.5,0.1
dairy,1347.06,29541.77,0.05
oilseed,1002.97,18903.39,0.05
oilseed,26687.12,35397.85,0.75
snack,3152.22,34311.25,0.09
grain,30158.17,25560.4,1.18
fish,0,0,0
seasoning,999.63,22682.1,0.04
brewery,594.42,6900.9,0.09
floral,1048.3,864,1.21
cleaning,886.58,22261.96,0.04
beauty,451.36,34235.03,0.01
fruit,36005.05,41279.36,0.87
vegetable,64333.53,57368.49,1.12
apparel,46.08,1085,0.04
glass,6223.32,13914.41,0.45
cutlery,76.63,1113.3,0.07
paper,667,2893.4,0.23
metal,459.27,6005,0.08
thread,136.39,2604.8,0.05
honey,1199.54,4054.06,0.3
other food,13503.26,12861.45,1.05
other all,994.23,16602.27,0.06